pair id,benchmark,benchmark id,solver,solver id,configuration,configuration id,status,cpu time,wallclock time,memory usage,result,certification-err=1: error below AC-dependency pair processor 1.1: error below the dependency graph processor 1.1.1: error below,certification-result,certification-time,certification-err=1: error below AC-dependency pair processor 1.1: error below the dependency graph processor 1.1.3: error when ,certification-err=1: error below AC-dependency pair processor 1.1: error below the dependency graph processor 1.1.4: error when ,certification-err=1: error below AC-dependency pair processor 1.2: error below the dependency graph processor 1.2.1: error below,certification-err=1: error below AC-dependency pair processor 1.2: error while trying to perform Sctxt_closure-decomposition on ,certification-err=1: error below AC-dependency pair processor 1.1: error below the dependency graph processor 1.1.2: error when ,certification-err=1: error below AC-dependency pair processor 1.1: error below the dependency graph processor 1.1.1: error when 
516331405,TRS_Equational/AProVE_AC_04/AC22.xml,13152941,AProVE21,33789,certified,551426,complete,11.297606274,4.40910291672,6.79931904E8,YES,-,CERTIFIED,0.37,-,-,-,-,-,-
516331406,TRS_Equational/AProVE_AC_04/AC22.xml,13152941,NaTT 1.6.1,29473,Certifiable,360199,complete,0.357615339,0.29397892952,1.9767296E7,MAYBE,-,-,-,-,-,-,-,-,-
516331407,TRS_Equational/AProVE_AC_04/AC17.xml,13152942,AProVE21,33789,certified,551426,complete,7.92705426,2.93942093849,5.44067584E8,YES,-,CERTIFIED,0.07,-,-,-,-,-,-
516331408,TRS_Equational/AProVE_AC_04/AC17.xml,13152942,NaTT 1.6.1,29473,Certifiable,360199,complete,0.111980024,0.102381944656,1.6064512E7,MAYBE,-,-,-,-,-,-,-,-,-
516331409,TRS_Equational/AProVE_AC_04/AC10.xml,13152943,AProVE21,33789,certified,551426,complete,5.568703424,2.17213106155,4.81792E8,YES,-,CERTIFIED,0.06,-,-,-,-,-,-
516331410,TRS_Equational/AProVE_AC_04/AC10.xml,13152943,NaTT 1.6.1,29473,Certifiable,360199,complete,0.09668762,0.107825994492,9203712.0,YES,-,REJECTED,0.36,-,-,-,-,-,1: error below AC-dependency pair processor 1.1: error below the dependency graph processor 1.1.1: error when applying AC-reduct
516331411,TRS_Equational/AProVE_AC_04/AC19.xml,13152944,AProVE21,33789,certified,551426,complete,6.840148929,2.46225190163,4.90774528E8,YES,-,CERTIFIED,0.06,-,-,-,-,-,-
516331412,TRS_Equational/AProVE_AC_04/AC19.xml,13152944,NaTT 1.6.1,29473,Certifiable,360199,complete,0.060920813,0.0791358947754,9482240.0,YES,-,CERTIFIED,0.33,-,-,-,-,-,-
516331413,TRS_Equational/AProVE_AC_04/AC49.xml,13152945,AProVE21,33789,certified,551426,complete,9.445860252,3.34612989426,6.3561728E8,YES,-,CERTIFIED,0.10,-,-,-,-,-,-
516331414,TRS_Equational/AProVE_AC_04/AC49.xml,13152945,NaTT 1.6.1,29473,Certifiable,360199,complete,0.079751289,0.0737340450287,7946240.0,YES,-,CERTIFIED,0.42,-,-,-,-,-,-
516331415,TRS_Equational/AProVE_AC_04/AC07.xml,13152946,AProVE21,33789,certified,551426,complete,7.815050393,3.31752991676,4.9446912E8,YES,-,CERTIFIED,0.28,-,-,-,-,-,-
516331416,TRS_Equational/AProVE_AC_04/AC07.xml,13152946,NaTT 1.6.1,29473,Certifiable,360199,complete,0.058520326,0.129205942154,6119424.0,YES,-,CERTIFIED,0.33,-,-,-,-,-,-
516331417,TRS_Equational/AProVE_AC_04/AC09.xml,13152947,AProVE21,33789,certified,551426,complete,5.50084025,2.1467461586,4.79711232E8,YES,-,CERTIFIED,0.06,-,-,-,-,-,-
516331418,TRS_Equational/AProVE_AC_04/AC09.xml,13152947,NaTT 1.6.1,29473,Certifiable,360199,complete,0.10006059,0.118100166321,8650752.0,YES,-,REJECTED,0.40,-,-,-,-,-,1: error below AC-dependency pair processor 1.1: error below the dependency graph processor 1.1.1: error when applying AC-reduct
516331419,TRS_Equational/AProVE_AC_04/AC18.xml,13152948,AProVE21,33789,certified,551426,complete,14.50077428,6.0668399334,8.50132992E8,YES,-,CERTIFIED,0.32,-,-,-,-,-,-
516331420,TRS_Equational/AProVE_AC_04/AC18.xml,13152948,NaTT 1.6.1,29473,Certifiable,360199,complete,0.18101447,0.160573959351,1.5970304E7,MAYBE,-,-,-,-,-,-,-,-,-
516331421,TRS_Equational/AProVE_AC_04/AC11.xml,13152949,AProVE21,33789,certified,551426,complete,10.233730103,4.06041502953,6.65751552E8,YES,-,CERTIFIED,0.07,-,-,-,-,-,-
516331422,TRS_Equational/AProVE_AC_04/AC11.xml,13152949,NaTT 1.6.1,29473,Certifiable,360199,complete,0.05158538,0.0726561546326,7700480.0,YES,-,CERTIFIED,0.31,-,-,-,-,-,-
516331423,TRS_Equational/AProVE_AC_04/AC16.xml,13152950,AProVE21,33789,certified,551426,complete,6.666106691,2.49409985542,4.97778688E8,YES,-,CERTIFIED,0.05,-,-,-,-,-,-
516331424,TRS_Equational/AProVE_AC_04/AC16.xml,13152950,NaTT 1.6.1,29473,Certifiable,360199,complete,0.090178422,0.136061906815,9142272.0,YES,-,REJECTED,0.41,-,-,-,-,-,1: error below AC-dependency pair processor 1.1: error below the dependency graph processor 1.1.1: error when applying AC-reduct
516331425,TRS_Equational/AProVE_AC_04/AC23.xml,13152951,AProVE21,33789,certified,551426,complete,5.944258589,2.32067298889,4.70171648E8,YES,-,CERTIFIED,0.09,-,-,-,-,-,-
516331426,TRS_Equational/AProVE_AC_04/AC23.xml,13152951,NaTT 1.6.1,29473,Certifiable,360199,complete,0.208309001,0.180370092392,1.8071552E7,MAYBE,-,-,-,-,-,-,-,-,-
516331427,TRS_Equational/AProVE_AC_04/AC24.xml,13152952,AProVE21,33789,certified,551426,complete,5.785967656,2.26006507874,4.73071616E8,YES,-,CERTIFIED,0.07,-,-,-,-,-,-
516331428,TRS_Equational/AProVE_AC_04/AC24.xml,13152952,NaTT 1.6.1,29473,Certifiable,360199,complete,0.110340089,0.121069908142,1.4073856E7,MAYBE,-,-,-,-,-,-,-,-,-
516331429,TRS_Equational/AProVE_AC_04/AC51.xml,13152953,AProVE21,33789,certified,551426,complete,5.571033415,2.16191101074,4.77011968E8,YES,-,CERTIFIED,0.03,-,-,-,-,-,-
516331430,TRS_Equational/AProVE_AC_04/AC51.xml,13152953,NaTT 1.6.1,29473,Certifiable,360199,complete,0.038578347,0.0771107673645,6582272.0,YES,-,CERTIFIED,0.16,-,-,-,-,-,-
516331431,TRS_Equational/AProVE_AC_04/AC15.xml,13152954,AProVE21,33789,certified,551426,complete,5.628015504,2.19799113274,4.83356672E8,YES,-,CERTIFIED,0.02,-,-,-,-,-,-
516331432,TRS_Equational/AProVE_AC_04/AC15.xml,13152954,NaTT 1.6.1,29473,Certifiable,360199,complete,0.08157108,0.111472129822,9732096.0,YES,-,REJECTED,0.24,-,-,1: error below AC-dependency pair processor 1.2: error below the dependency graph processor 1.2.1: error below AC-reduction pair,-,-,-
516331433,TRS_Equational/AProVE_AC_04/AC12.xml,13152955,AProVE21,33789,certified,551426,complete,5.797513392,2.22352290154,4.74882048E8,YES,-,CERTIFIED,0.05,-,-,-,-,-,-
516331434,TRS_Equational/AProVE_AC_04/AC12.xml,13152955,NaTT 1.6.1,29473,Certifiable,360199,complete,0.177940296,0.196909189224,1.0928128E7,YES,1: error below AC-dependency pair processor 1.1: error below the dependency graph processor 1.1.1: error below AC-reduction pair,REJECTED,0.45,-,-,-,-,-,-
516331435,TRS_Equational/AProVE_AC_04/AC27.xml,13152956,AProVE21,33789,certified,551426,complete,8.26405283,4.17311406136,5.69094144E8,YES,-,CERTIFIED,0.27,-,-,-,-,-,-
516331436,TRS_Equational/AProVE_AC_04/AC27.xml,13152956,NaTT 1.6.1,29473,Certifiable,360199,complete,0.239799197,0.223313808441,1.4409728E7,YES,-,REJECTED,0.51,-,-,-,-,-,1: error below AC-dependency pair processor 1.1: error below the dependency graph processor 1.1.1: error when applying AC-reduct
516331437,TRS_Equational/AProVE_AC_04/AC20.xml,13152957,AProVE21,33789,certified,551426,complete,7.987863209,3.42788696289,5.25172736E8,YES,-,CERTIFIED,0.35,-,-,-,-,-,-
516331438,TRS_Equational/AProVE_AC_04/AC20.xml,13152957,NaTT 1.6.1,29473,Certifiable,360199,complete,0.112875446,0.125370979309,9052160.0,YES,-,REJECTED,0.45,-,-,-,-,1: error below AC-dependency pair processor 1.1: error below the dependency graph processor 1.1.2: error when applying AC-reduct,-
516331439,TRS_Equational/AProVE_AC_04/AC52.xml,13152958,AProVE21,33789,certified,551426,complete,7.190561779,2.63731217384,4.95489024E8,YES,-,CERTIFIED,0.15,-,-,-,-,-,-
516331440,TRS_Equational/AProVE_AC_04/AC52.xml,13152958,NaTT 1.6.1,29473,Certifiable,360199,complete,0.523434862,0.413654088974,1.529856E7,YES,-,REJECTED,0.26,-,-,-,-,-,1: error below AC-dependency pair processor 1.1: error below the dependency graph processor 1.1.1: error when applying AC-reduct
516331441,TRS_Equational/AProVE_AC_04/AC03.xml,13152959,AProVE21,33789,certified,551426,complete,7.60696762,2.75222396851,5.08637184E8,YES,-,CERTIFIED,0.32,-,-,-,-,-,-
516331442,TRS_Equational/AProVE_AC_04/AC03.xml,13152959,NaTT 1.6.1,29473,Certifiable,360199,complete,0.08826551,0.0762510299683,9867264.0,YES,-,REJECTED,0.35,-,-,-,-,1: error below AC-dependency pair processor 1.1: error below the dependency graph processor 1.1.2: error when applying AC-reduct,-
516331443,TRS_Equational/AProVE_AC_04/AC04.xml,13152960,AProVE21,33789,certified,551426,complete,8.125322681,2.93909811974,5.25021184E8,YES,-,CERTIFIED,0.35,-,-,-,-,-,-
516331444,TRS_Equational/AProVE_AC_04/AC04.xml,13152960,NaTT 1.6.1,29473,Certifiable,360199,complete,0.107759396,0.0932950973511,9232384.0,YES,-,REJECTED,0.45,-,-,-,-,1: error below AC-dependency pair processor 1.1: error below the dependency graph processor 1.1.2: error when applying AC-reduct,-
